Priority (P0/P1/P2),Cluster,L1,L2,L3 (Optional),参考图片,参考图片链接,参考商品链接 (SHP/AE/Amazon/独立站/...),参考售价 (BRL),建议卖家类型 (3PF/SLS/不限),商品描述 (名称),Remark
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-820l4-mfjcq5qv8h7097,,54.5,3PF,鱼竿/鱼线/渔轮/渔具,"For heavy/large items, 3PF is preferred."
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mdo8uv1exxtwcb,Priority (P0/P1/P2);Cluster;L1;L2;L3 (Optional);参考图片;参考图片链接;参考商品链接 (SHP/AE/Amazon/独立站/...);参考售价 (BRL);建议卖家类型 (3PF/SLS/不限);商品描述 (名称);Remark,45.4,3PF,鱼竿/鱼线/渔轮/渔具,"For heavy/large items, 3PF is preferred."
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mas61e8dhprte4,,54.8,,,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/sg-11134201-81zvs-mioe088w8tmv23,,12.0,,,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mc68zzrake3df3,,32.5,,鱼竿/鱼线/渔轮/渔具,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-820l4-mha4tcu9mn7s63,,36.7,3PF,,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mbz29dcg5xsp15,,36.5,,鱼竿/鱼线/渔轮/渔具,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-820l4-mgyuvrom8yruaf,,19.9,,鱼竿/鱼线/渔轮/渔具,Prioritize multi-piece packs
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mciv7wy8hh0p45,,92.9,3PF,,"For heavy/large items, 3PF is preferred."
P1,Fashion,Sports & Fitness,Camping & Fishing,,,https://cf.shopee.com.br/file/cn-11134207-7ras8-mapb4tvr7kn9fc,,39.0,3PF,鱼竿/鱼线/渔轮/渔具,"For heavy/large items, 3PF is preferred."
